cue,niche,coef_lat,coef_lat_CI_left,coef_lat_CI_right,coef_resource_seasonality,coef_resource_seasonality_CI_left,coef_resource_seasonality_CI_right,coef_cue_variability,coef_cue_variability_CI_left,coef_cue_variability_CI_right
tmin,all,-0.07763056242834417,-0.08771933420803342,-0.06743110585936457,0.004536061514498003,-0.00614092727307197,0.01502737106799623,0.018496176860795084,0.011054911886896187,0.026341233883560987
tmin,Trophic_Niche_Aquatic_predator,-0.12369024710946422,-0.13781631390258528,-0.1099713236896192,-0.027652135348567888,-0.03996085222353558,-0.014703963044282958,0.04689704847972924,0.03791059650984524,0.05608964350483565
tmin,Trophic_Niche_Frugivore,-0.038593184379144135,-0.047026999630191094,-0.030056998289890273,-0.018608492610313224,-0.02717093024115236,-0.010004320987521407,0.03219456579648453,0.026173903768647904,0.038314900102353174
tmin,Trophic_Niche_Granivore,-0.08225728284991043,-0.09152197139782302,-0.0732074291248827,-0.02949228001822628,-0.038653144235869775,-0.02026724709857021,0.033347931816980175,0.026390148066157502,0.04047113806361558
tmin,Trophic_Niche_Herbivore_aquatic,-0.08207296039249896,-0.09380865088810442,-0.06981833980516788,-0.00525090490373549,-0.017625091558202428,0.006940250327915058,0.05403940452730588,0.0454431533188265,0.06286677055139074
tmin,Trophic_Niche_Herbivore_terrestrial,-0.08361810191476124,-0.09284134243062996,-0.07449115988996749,-0.012835919546551043,-0.02226055174354964,-0.0032541045637934024,0.031031044036002015,0.024369693959513956,0.03812269350197884
tmin,Trophic_Niche_Invertivore,-0.10310128520411144,-0.12341855399583986,-0.08270596811149325,-0.05361511319127378,-0.07368306779221631,-0.03360200792387641,0.08556603081242634,0.06919185314598594,0.10478875930011171
tmin,Trophic_Niche_Nectarivore,-0.035791654327795505,-0.050097750578715704,-0.021664762093487028,-0.020558184981165326,-0.03622539897011943,-0.005146616475651896,0.09026491818676394,0.07756337184004242,0.10302890932865504
tmin,Trophic_Niche_Omnivore,-0.06482035296579992,-0.07523845712151325,-0.05466508784808961,-0.031555304337510026,-0.041638812155452364,-0.021739802914463247,0.033395051028154515,0.025585662456155192,0.04138160952868279
tmin,Trophic_Niche_Scavenger,-0.0723955743691155,-0.08490852994080308,-0.06003500070813918,-0.0008399834838912704,-0.013542098983526096,0.011869278077716337,0.08880823177861757,0.07791021948004159,0.09969650100299646
tmin,Trophic_Niche_Vertivore,-0.0716959721416712,-0.08242000506279731,-0.060919311284968226,-0.00661428604737235,-0.017938720101588264,0.004909497375962127,0.06060440199970656,0.052537480967952584,0.06797823471123816
delta_NDVI,all,-0.07611490475023039,-0.08869920322580419,-0.06321586062682209,0.031049559033861387,0.018318909448660055,0.04382318278310924,0.03113456965970491,0.021591218204764402,0.04078136642244687
delta_NDVI,Trophic_Niche_Aquatic_predator,-0.08305027526897919,-0.09915738695591804,-0.06673918934083195,-0.026063140389703855,-0.042944313913527175,-0.00879845998319084,0.029600898762438484,0.015091578148416395,0.04349170577259783
delta_NDVI,Trophic_Niche_Frugivore,-0.02523083257710345,-0.03665616935334465,-0.014202353889585836,-0.008765576720750776,-0.02047544060278685,0.0026387255337402865,0.05159976414635182,0.04317762314289641,0.060110051742443577
delta_NDVI,Trophic_Niche_Granivore,-0.07073930089200794,-0.08255536074608236,-0.05861446687108269,-0.006675676719621286,-0.018865565340703168,0.005808920334161718,0.046820707638114266,0.03797392240015577,0.05578292498541894
delta_NDVI,Trophic_Niche_Herbivore_aquatic,-0.04791672648442335,-0.06172045128854041,-0.03432399152894235,0.009286767086676154,-0.005108814124874533,0.02337415867876404,0.05540065906608689,0.04475957049828085,0.06572851327816215
delta_NDVI,Trophic_Niche_Herbivore_terrestrial,-0.0529640137574975,-0.067976920812442,-0.03776358068081245,-0.00040023420133474387,-0.01408310624151529,0.013663476494617632,0.035211563088989484,0.025307999727770748,0.04485850473341731
delta_NDVI,Trophic_Niche_Invertivore,-0.09653431509458428,-0.11543860192472007,-0.07692262750281112,0.003995877115727597,-0.015358771473267124,0.02300006194730971,0.05188841008971995,0.03899189789139155,0.06480956412061992
delta_NDVI,Trophic_Niche_Nectarivore,0.003692160560343015,-0.013284623612180826,0.020557116401788596,0.010250518626620683,-0.00724324539087343,0.028316952036245988,0.09034425686271429,0.07856466767030035,0.10220274254920986
delta_NDVI,Trophic_Niche_Omnivore,-0.04739631953327098,-0.0602037169146094,-0.034701880443456276,-0.01850659350387505,-0.031964819310987554,-0.005001279088905335,0.0333630742815884,0.023701686933306654,0.04290934974324464
delta_NDVI,Trophic_Niche_Scavenger,-0.007929993128384728,-0.02514701043013874,0.009046951466566058,-0.006414990548221673,-0.023188069350157395,0.010483112246461722,0.05938653033176354,0.04833067736191025,0.06998744972087761
delta_NDVI,Trophic_Niche_Vertivore,-0.02120709229286004,-0.03709520729886288,-0.00537305360622144,-0.008122502790477423,-0.02407121169329282,0.007913247234614338,0.0490604212665524,0.03809319693263935,0.06005048881474728
